Id,1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,"3. ¿Con qué género te identificas?
","4. ¿Con qué frecuencia realizas viajes dentro de México?
","5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
 (Otro)",7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo. (Otro),8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases: (Otro),9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística? (Otro),"10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?
","11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”
",12. ¿Qué tipo de información consideras más importante?,12. ¿Qué tipo de información consideras más importante? (Otro),13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar? (Otro),"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?
",15. ¿Qué funciones consideras indispensables en una app de viajes?,15. ¿Qué funciones consideras indispensables en una app de viajes? (Otro),16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
","17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
 (Otro)"
536,Ciudad de México,,60 años o más,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Páginas oficiales de turismo,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea confiable y verídica ,
537,Hidalgo,Emiliano Zapata,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,5,Mapas y rutas,,Falta de información en el momento exacto,,Probable,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad ,
538,Hidalgo,Atotonilco de Tula,50–59 años,Mujer,Una vez al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Seguridad,,Información desactualizada,,Neutral,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
539,Ciudad de México,,40–49 años,Mujer,Esporádicamente,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,3,Mapas y rutas,,Falta de información en el momento exacto,,Neutral,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",,
540,Estado de México,,30–39 años,Mujer,Una vez al año,2 veces,Gastronomía,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,Probable,Recomendaciones locales confiables,,Falta de valor real,Indicaciones certeras de los caminos,
541,Estado de México,,30–39 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,3,3,Mapas y rutas,,Información desactualizada,,Neutral,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Veridica,
542,Ciudad de México,,18–29 años,Mujer,Una vez al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Segura y que tenga fotos reales  y promocion de,comercio loca,",
543,Estado de México,,60 años o más,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea variada y confiable ,
544,Estado de México,,18–29 años,Mujer,Esporádicamente,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,3,3,Mapas y rutas,,Información desactualizada,,Neutral,Comercios y servicios cercanos,,"Mala experiencia de uso, Falta de valor real, Exceso de publicidad",,
545,Hidalgo,Tulancingo de Bravo,18–29 años,Hombre,Esporádicamente,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Hotel precios comida,
546,Ciudad de México,,18–29 años,Hombre,Esporádicamente,1 vez,Descanso / relajación,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones","Segura, buenos precios ",
547,Hidalgo,Tizayuca,40–49 años,Hombre,,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,3,4,Horarios actualizados,,Demasiadas opciones sin guía,,Neutral,Información verificada,,Mala experiencia de uso,Nq,
548,Hidalgo,Mineral de la Reforma,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Muchas opciones ,
549,Estado de México,,40–49 años,Mujer,Esporádicamente,3 veces,Naturaleza,,Google,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,4,4,Seguridad,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso",Que tenga precios ,
550,Michoacán,,40–49 años,Hombre,Varias veces al año,1 vez,Naturaleza,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Cercanía / ubicación,,3,4,Mapas y rutas,,Información desactualizada,,Nada probable,Rutas sugeridas,,No confiar en las recomendaciones,Veracidad ,
551,Hidalgo,Pachuca de Soto,18–29 años,Mujer,Una vez al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,3,3,Mapas y rutas,,Información desactualizada,,Nada probable,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Veracidad,
552,Estado de México,,50–59 años,Hombre,Varias veces al año,1 vez,4 veces o más,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,3,3,Horarios actualizados,,Demasiadas opciones sin guía,,Muy probable,Recomendaciones locales confiables,,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real","Recomendaciones reales, ",
553,Hidalgo,Ixmiquilpan,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Precio,,4,5,Horarios actualizados,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Confiable, segura y verídica 
",
554,Jalisco,,30–39 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Que me de confianza que este actualizada ,
555,Ciudad de México,,30–39 años,Mujer,Esporádicamente,1 vez,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,3,4,Seguridad,,Información desactualizada,,Probable,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Información real,
556,Ciudad de México,,50–59 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,Exceso de publicidad, Que sea amigable ,
557,Ciudad de México,,40–49 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,Muy probable,Recomendaciones locales confiables,,"Mala experiencia de uso, Exceso de publicidad, Información falsa o incompleta",Confiable,
558,Estado de México,,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Una App que contengan toda la información ,
559,Ciudad de México,,40–49 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Falta de valor real, Información falsa o incompleta, No confiar en las recomendaciones",Comida transporte,
560,Estado de México,,40–49 años,Mujer,Esporádicamente,1 vez,Aventura,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Que sea seguro Y ACCESIBLES COSTOS ,
561,Hidalgo,Metztitlán,18–29 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Información verificada,,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta",Que sea segura y confiable ,
562,Estado de México,,18–29 años,Hombre,Esporádicamente,1 vez,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,Falta de valor real,Que te den información real,
563,Estado de México,,18–29 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Blogs o influencers,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,3,Mapas y rutas,,Información desactualizada,,Nada probable,Comercios y servicios cercanos,,Información falsa o incompleta,Imágenes del lugar,
564,Estado de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,3,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad",Seguridad,
565,Hidalgo,Mineral de la Reforma,18–29 años,Mujer,Muy rara vez,1 vez,4 veces o más,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,5,4,Recomendaciones cercanas,,Información desactualizada,,Neutral,Comercios y servicios cercanos,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Ayudar a encontrar buenos lugares ,
566,Ciudad de México,,60 años o más,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Que sea confiable y contenga mucha información ,
567,Veracruz,,50–59 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Poca visibilidad de comercios locales,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza ,
568,Estado de México,,30–39 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,3,Mapas y rutas,,Falta de información en el momento exacto,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
569,Ciudad de México,,60 años o más,Mujer,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Eventos o actividades del día,,Recomendaciones poco confiables,,Muy probable,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real","Los precios, las imágenes de los lugares turísticos ",
570,Hidalgo,Atotonilco el Grande,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Queme proporcione toda la información que necesito ,
571,Ciudad de México,,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
572,Ciudad de México,,40–49 años,Hombre,Esporádicamente,2 veces,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,4,Recomendaciones cercanas,,Información desactualizada,,Probable,Eventos y experiencias locales,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones","Diera resultados, confiable",
573,Ciudad de México,,18–29 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Mapas y rutas,,Información desactualizada,,Poco probable,Rutas sugeridas,,"Exceso de publicidad, No confiar en las recomendaciones",Que tenga rutas y precios,
574,Hidalgo,Omitlán de Juárez,60 años o más,Mujer,Muy rara vez,1 vez,Descanso / relajación,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,5,3,Seguridad,,Información desactualizada,,Nada probable,Comercios y servicios cercanos,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Información actualizada ,
575,Estado de México,,30–39 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,Neutral,Información verificada,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real","Atención 
",
576,Estado de México,,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,4,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Sitios de interés recomenddiciones de personas,
577,Ciudad de México,,50–59 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Google,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,5,5,Seguridad,,Demasiadas opciones sin guía,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea confiable y segura. También actualizada ,
578,Hidalgo,Atotonilco de Tula,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Ampliar información turística ,
579,Estado de México,,30–39 años,Mujer,Una vez al año,1 vez,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,3,3,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Fácil de manejar ,
580,Jalisco,,30–39 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Exceso de publicidad",Lugares adecuados recomendaciones de usuarios,
581,Veracruz,,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Que sea confiable ,
582,Ciudad de México,,40–49 años,Mujer,Una vez al año,1 vez,Descanso / relajación,,Recomendaciones de amigos / familia,,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Falta de valor real",Que la información sea verídica ,
583,Hidalgo,Pachuca de Soto,18–29 años,Mujer,Una vez al año,2 veces,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,,,Mapas y rutas,,Demasiadas opciones sin guía,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que realmente sea de utilidad,
